,judge_date,year,issue,judge_num,result(months)
0,20160125,102,詐欺,易字第573,0
1,20190514,108,詐欺,原訴字第4,8
2,20150630,104,詐欺,原易字第9,3
3,20160830,105,詐欺,訴字第211,94
4,20161206,105,詐欺,上易字第709,0
5,20140716,103,詐欺,簡字第3739,0
6,20170323,105,詐欺等,智訴字第7,20
